1. open,2. high,3. low,4. close,5. volume
412.2200,413.4300,410.2300,413.0100,54289383
413.4200,413.6400,409.0700,411.5900,70481548
411.9500,412.4300,409.9700,412.1300,70157064
413.8800,414.5350,408.8700,412.8500,96142922
411.1300,412.0900,410.6894,410.9300,49220119
412.9700,413.2400,411.2800,412.7400,50046768
408.9100,413.7200,408.6400,412.6300,87891791
406.9300,407.2700,403.7400,405.1300,94901863
411.3600,413.8700,407.7700,408.0200,91531769
414.7700,414.8200,407.8200,410.8400,103998484
415.4700,417.6200,415.2650,415.5100,62122254
411.4900,415.9400,411.4300,415.9300,89433137
407.0000,412.6900,406.7400,412.4100,92968369
406.7200,407.8400,403.7800,404.3600,78319853
410.5800,411.1600,406.0200,406.0800,97766721
411.9900,413.0700,410.6000,412.6300,64332095
412.1900,412.6800,410.1700,412.2000,73457422
411.2100,413.7000,410.2700,411.8800,75840359
412.2200,415.0800,412.1600,414.1400,55227330
415.5800,415.7200,412.7802,414.2100,63559997
412.3700,413.9600,411.0850,413.9400,65496534
412.8100,415.0900,410.0600,412.4600,78161500
409.1800,413.8400,407.9922,413.4700,85814754
411.8700,412.1700,407.4400,408.0500,86420379
410.2600,411.1800,408.9200,409.7200,59297945
406.6100,409.6900,405.9700,409.6100,63681042
406.7700,409.4800,405.6780,409.1900,63743345
407.9100,408.7000,405.8800,407.6000,65200243
411.6200,411.9200,407.2400,408.6700,66601534
408.8500,411.3700,408.4400,410.9500,67391097
404.6600,409.7000,404.5500,409.3900,112062624
404.0900,404.3500,401.7600,403.7000,69840049
399.9250,401.6000,398.6800,401.3500,77497876
395.7700,396.4900,393.6900,395.6000,62871680
398.1200,398.9200,395.5600,396.4900,74010408
391.8410,395.8400,389.4000,395.7500,107770124
395.0900,399.2900,390.3500,393.1700,119351319
398.7300,402.4900,392.0700,392.1100,111746583
397.2400,399.4100,395.5800,398.9100,91524248
390.8000,394.1700,390.0700,393.7400,93055783
393.2200,394.4000,388.5500,389.9900,140553411
386.8200,396.4700,386.2900,396.1100,143753940
385.8900,389.4900,383.7100,389.2800,172996933
390.5000,393.4500,387.0500,391.7300,149752357
381.8100,390.3900,380.6500,385.3600,157789967
390.9900,393.1600,384.3200,385.9100,189252996
399.7400,401.4800,390.5300,391.5600,111945322
398.3900,399.7100,396.5900,398.9200,74746632
404.4200,404.6700,397.6250,398.2700,108310596
405.0500,407.4500,404.0100,404.4700,72795946
399.7100,404.4500,399.0300,404.1900,90119952
392.6800,398.6900,392.3300,397.8100,85404726
395.4100,396.6900,393.3800,394.7400,99706823
397.2300,399.2800,396.1500,396.2600,96438567
399.8700,401.2900,396.7500,397.7300,80444736
395.4200,397.2500,393.6400,396.3800,108194413
401.5600,402.2000,396.2500,400.6600,96242399
399.5200,401.1300,397.0200,398.5400,83742293
403.0600,404.1600,398.8200,399.0900,82655924
406.0600,407.5100,404.0500,407.2600,89257815
408.7900,412.9100,408.1400,408.2800,76431469
410.3500,414.0600,409.4700,413.9800,61685279
411.2400,415.0500,408.5110,412.6400,88389313
408.7200,412.9700,408.2400,412.8300,64913539
405.8600,408.4400,405.0100,408.0400,70769715
414.4100,414.5700,405.8100,407.0900,78694859
413.1300,414.5300,409.9300,410.6500,76227462
408.8700,416.4900,407.5700,415.1900,90990745
409.7900,411.2900,408.1000,409.8300,60295325
411.5900,416.9700,411.0900,412.3500,94736781
414.8600,418.3100,412.8800,416.7800,101654463
405.2110,413.6700,402.3500,410.8000,101459155
401.1300,406.5300,400.7700,406.4800,86811786
402.8000,405.1300,400.2800,400.5900,74202018
403.6550,408.1600,403.4400,405.6800,68346180
403.1300,404.9200,400.0300,404.7500,72287425
395.9500,400.7000,393.5600,400.3500,84800251
398.8800,401.1500,397.6400,400.2000,59524911
396.7200,402.6450,395.7200,400.6300,84178797
390.1000,396.0400,388.3800,395.8800,91806356
389.3600,391.0800,387.2600,388.6400,86958919
399.0100,400.1200,391.2800,391.4900,99632262
398.4800,400.2300,397.0600,397.7700,62677281
393.6200,399.1000,393.3400,398.5000,63903932
396.6700,398.4850,392.4200,396.9600,90157699
392.2300,395.6000,391.3800,395.5200,68881080
387.2500,390.6500,386.2700,390.5800,65358094
390.3700,393.7000,387.6700,387.8600,73978071
382.6100,389.2500,379.4127,388.0800,104189603
381.7200,381.8400,378.7600,379.3800,76970456
383.1800,385.8800,380.0000,383.7600,85934098
384.3700,386.4300,377.8310,380.8200,74850731
380.6400,382.5800,378.4300,382.4300,84022205
379.6300,384.3500,379.0800,383.4400,66970877
381.3300,383.3900,376.4200,376.6600,70911520
382.7900,383.1500,379.6500,381.4000,51638180
379.6500,383.0600,378.0300,382.9100,59857329
383.0500,386.2134,374.7700,380.7200,100120855
383.2500,387.4100,382.6900,386.2300,78167369
379.2300,382.2300,377.8500,380.5400,74427240
383.4700,383.8200,378.2800,380.0200,79878103
385.1800,386.5750,381.0400,383.2700,119857952
394.3000,395.2500,387.8850,389.6300,117705889
401.6100,405.5000,396.3100,399.4000,108111349
410.2200,410.4900,399.0700,401.9700,123782534
394.1100,398.9500,393.4120,398.9500,75405835
394.9400,397.6200,393.1500,393.2800,81447733
395.1400,397.3600,393.2684,396.2400,60737912
392.9400,395.6400,391.9700,393.1600,65927896
399.4200,399.9900,391.6400,393.8300,77972217
403.9500,404.9300,398.1700,399.5900,77289815
402.2500,407.8600,402.1400,406.9100,85342731
